	x	y	theta	v	a	sigma	omega	t
38	10.462130736843074	3.9279895227150115	-1.5570279299381873	1.039254252532814	0.03307221840472843	0.06813875415525823	-0.11762524641755201	3.3242737456440095
39	10.443336104288397	3.845792546651269	-1.5548688846717613	1.042073255285455	0.029939390656172897	0.05811263829652152	-0.11953182948334704	3.409511533993856
40	10.424788882958838	3.763332242928796	-1.553023310128412	1.0446252227295285	0.027081831145630668	0.047924009513951246	-0.12137909547491404	3.4947493223437025
41	10.40645160505232	3.680635921044763	-1.5514981334687412	1.0469336181208455	0.0244704510914166	0.037577923863766	-0.12318375638136328	3.579987110693549
42	10.388285074910304	3.5977289899553413	-1.5502999303559837	1.0490194252518004	0.02207771596491773	0.027078012909193674	-0.12496096394700267	3.6652248990433955
43	10.370248512787663	3.5146351722859577	-1.5494350010867775	1.0509012809324658	0.01987743888948595	0.01642661671228771	-0.1267242232873567	3.750462687393242
44	10.352299674141676	3.431376714652687	-1.5489094399454761	1.0525955898614647	0.01784457691244904	0.005624924188922846	-0.1284853125192313	3.8357004757430886
45	10.334394946996593	3.3479745948751227	-1.5487291975539295	1.0541166221315206	0.015955029285058268	-0.005326879685653654	-0.13025420455506515	3.920938264092935
46	10.316489429927925	3.264448726933599	-1.54890013601846	1.0554765935408361	0.014185436870237024	-0.016429460005194206	-0.13203898761868874	4.006176052442782
47	10.298536993199635	3.180818164593937	-1.5494280766793487	1.0566857288064317	0.012512981784649421	-0.027684171285762203	-0.13384578143389553	4.091413840792628
48	10.280490325586928	3.0971013046885094	-1.5503188402479247	1.0577523076994177	0.010915186373708563	-0.03909288967514251	-0.1356786464242513	4.176651629142474
49	10.262300969435984	3.0133160911010264	-1.5515782790743669	1.0586826940453395	0.00936971061945194	-0.050657837422644514	-0.13753948365076174	4.26188941749232
50	10.243919346557277	2.9294802205518553	-1.5532123012273085	1.0594813474560205	0.007854147095595636	-0.06238139881981323	-0.13942792361481612	4.347127205842166
51	10.225294777628521	2.8456113513185044	-1.5552268859857457	1.0601508175838246	0.0063458126157113605	-0.0742659266629493	-0.14134120248159826	4.432364994192012
52	10.20637549790345	2.761727316049455	-1.557628090245823	1.0606917206164714	0.0048215357739815655	-0.08631353816518628	-0.14327402475125398	4.517602782541858
53	10.187108672190476	2.677846339835571	-1.5604220452310127	1.0611026976622964	0.003257439658605012	-0.09852589916296192	-0.14521841194190022	4.602840570891704
54	10.167440412287124	2.593987264687956	-1.5636149427652366	1.0613803546144807	0.0016287191315955717	-0.11090399542456392	-0.14716353747347713	4.68807835924155
55	10.147315800338294	2.510169781529694	-1.5672130102261521	1.0615191830311024	-9.058777784503639e-05	-0.12344788988454022	-0.14909554868094363	4.773316147591396
56	10.126678921935289	2.4264146707356096	-1.5712224731421398	1.0615114615292693	-0.001927834618501284	-0.13615646470690795	-0.15099737776869845	4.858553935941242
57	10.10547291319342	2.3427440521423115	-1.5756495042343468	1.061347137170086	-0.003912007396859046	-0.1490271472345352	-0.15284854457712127	4.9437917242910885
58	10.083640026544325	2.2591816452922977	-1.5805001575384732	1.0610136863115716	-0.00607397126718522	-0.16205561912677893	-0.15462495530015447	5.029029512640935
59	10.061121720558388	2.1757530404616414	-1.5857802860754666	1.0604959544342587	-0.008446722314928375	-0.17523550834025486	-0.15629870280362934	5.114267300990781
60	10.037858779775139	2.092485980740375	-1.5914954413837268	1.0597759745053312	-0.01106564324281543	-0.1885580640891829	-0.15783787597963006	5.199505089340627
61	10.013791471264275	2.009410655076918	-1.597650753088317	1.058832763548648	-0.013968761208323542	-0.20201181555552056	-0.1592063876600354	5.284742877690473
62	9.988859745462687	1.9265600017506956	-1.6042507865790288	1.0576420972372664	-0.01719700541002921	-0.21558221593082674	-0.16036383302116658	5.369980666040319
63	9.963003489723329	1.843970021188717	-1.6112993768169899	1.0561762625298783	-0.020794461280247957	-0.22925127438885146	-0.1612653931456257	5.455218454390165
64	9.936162843952948	1.7616800963811903	-1.6187994363118157	1.0544037886404265	-0.024808617321439894	-0.24299717983794936	-0.161861801449887	5.540456242740011
65	9.908278588680577	1.679733318369617	-1.6267527354364149	1.0522891569679327	-0.029290599743797188	-0.25679392181185584	-0.16209939398957088	5.625694031089857
66	9.879292616848634	1.5981768133736105	-1.6351596535087207	1.0497924910263345	-0.0342953891555605	-0.2706109156483733	-0.1619202681300499	5.710931819439703
67	9.849148501499132	1.517062067092008	-1.6440188995088836	1.046869227904121	-0.039882012679363775	-0.2844126411927889	-0.16126257757633436	5.796169607789549
68	9.817792172266914	1.4364452405715693	-1.6533272019621406	1.0434697733483955	-0.04611370409474724	-0.2981583066489871	-0.16006099508515925	5.881407396139395
69	9.785172714096372	1.3563874708083616	-1.6630789684506058	1.0395391431987442	-0.053058024045412974	-0.3118015518711177	-0.15824737704746808	5.966645184489241
70	9.751243301750542	1.2769551479768526	-1.6732659164713723	1.0350165945749044	-0.06078693213957253	-0.32529020830280403	-0.15575166615652972	6.0518829728390875
